PARROQUIA,ZONA,MES,DIA_SEMANA,HORA_NUM,ACCIDENTES,PROM_LESIONADOS,PROM_FALLECIDOS,PROM_TOTAL_VICTIMAS,CAUSA_MAS_FRECUENTE,TIPO_SINIESTRO_MAS_FRECUENTE,TIPO_VEHICULO_MAS_FRECUENTE,LATITUD_PROM,LONGITUD_PROM,RIESGO_PORC,NIVEL_RIESGO
BAÑOS (CUENCA),RURAL,8,1,19,1,1.0,0.0,1.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CAÍDA DE PASAJERO,BUS,-2.910631,-79.068438,20.0,BAJO
BAÑOS (CUENCA),RURAL,8,2,13,1,2.0,0.0,2.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ROZAMIENTOS,AUTOMÓVIL,-2.919908,-79.063942,20.0,BAJO
BAÑOS (CUENCA),RURAL,8,5,8,1,1.0,0.0,1.0,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,VEHÍCULO DEPORTIVO UTILITARIO,-2.959167,-79.048333,20.0,BAJO
BAÑOS (CUENCA),RURAL,8,6,20,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,BUS,-2.922276,-79.066334,20.0,BAJO
BAÑOS (CUENCA),RURAL,9,2,22,1,1.0,0.0,1.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,MOTOCICLETA,-2.948889,-79.047139,20.0,BAJO
BAÑOS (CUENCA),RURAL,9,6,14,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,CAMIONETA,-2.939528,-79.046917,20.0,BAJO
BAÑOS (CUENCA),RURAL,9,6,23,1,4.0,0.0,4.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIONETA,-2.939889,-79.046833,20.0,BAJO
BAÑOS (CUENCA),RURAL,10,1,9,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIONETA,-2.941666,-79.04583,20.0,BAJO
BAÑOS (CUENCA),RURAL,10,3,14,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,VEHÍCULO DEPORTIVO UTILITARIO,-2.957777,-79.04938,20.0,BAJO
BAÑOS (CUENCA),RURAL,10,4,18,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,AUTOMÓVIL,-2.937799,-79.046407,20.0,BAJO
BAÑOS (CUENCA),RURAL,11,0,8,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,AUTOMÓVIL,-2.94647222,-79.04652778,20.0,BAJO
BAÑOS (CUENCA),RURAL,11,1,10,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,AUTOMÓVIL,-2.947111,-79.046861,20.0,BAJO
BAÑOS (CUENCA),RURAL,11,1,22,1,3.0,0.0,3.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,AUTOMÓVIL,-2.95794097,-79.04922161,20.0,BAJO
BAÑOS (CUENCA),RURAL,11,2,17,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,COLISIÓN,AUTOMÓVIL,-2.94597222,-79.04625,20.0,BAJO
BAÑOS (CUENCA),RURAL,11,4,4,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIONETA,-2.957778,-79.049389,20.0,BAJO
BAÑOS (CUENCA),RURAL,11,4,22,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,AUTOMÓVIL,-2.95249243,-79.04857464,20.0,BAJO
BAÑOS (CUENCA),RURAL,12,0,6,1,1.0,0.0,1.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,MOTOCICLETA,-2.947451,-79.046934,20.0,BAJO
BAÑOS (CUENCA),RURAL,12,3,8,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIONETA,-2.9585,-79.048611,20.0,BAJO
BAÑOS (CUENCA),URBANA,2,3,12,1,1.0,0.0,1.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE POSTERIOR,AUTOMÓVIL,-2.937737,-79.046406,20.0,BAJO
BAÑOS (CUENCA),URBANA,2,6,17,1,1.0,0.0,1.0,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,VEHÍCULO DEPORTIVO UTILITARIO,-2.925952,-79.057877,20.0,BAJO
BAÑOS (CUENCA),URBANA,3,6,12,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CAÍDA DE PASAJERO,NO IDENTIFICADO,-2.951355,-79.06502,20.0,BAJO
BAÑOS (CUENCA),URBANA,4,5,2,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,MOTOCICLETA,-2.918247,-79.055825,20.0,BAJO
BAÑOS (CUENCA),URBANA,8,4,4,1,0.0,0.0,0.0,"PEATÓN TRANSITA BAJO INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ESTRELLAMIENTOS,NO IDENTIFICADO,-2.907937,-79.053517,20.0,BAJO
BAÑOS (CUENCA),URBANA,9,1,15,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",ATROPELLOS,AUTOMÓVIL,-2.919222,-79.060952,20.0,BAJO
CHAUCHA,RURAL,2,4,13,1,1.0,0.0,1.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,NO IDENTIFICADO,-2.875236,-79.422505,20.0,BAJO
CHAUCHA,RURAL,4,4,16,1,1.0,1.0,2.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",PÉRDIDA DE PISTA,CAMIONETA,-2.998584,-79.372272,20.0,BAJO
CHECA (JIDCAY),RURAL,3,6,4,1,4.0,0.0,4.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,AUTOMÓVIL,-2.807942,-78.994886,20.0,BAJO
CHECA (JIDCAY),RURAL,6,5,21,1,2.0,0.0,2.0,CONDUCIR VEHÍCULO SUPERANDO LOS LÍMITES MÁXIMOS DE VELOCIDAD.,PÉRDIDA DE CARRIL,NO IDENTIFICADO,-2.800452,-78.993196,20.0,BAJO
CHECA (JIDCAY),RURAL,9,4,12,1,0.0,0.0,0.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIONETA,-2.807363,-78.992981,20.0,BAJO
CHECA (JIDCAY),RURAL,9,5,1,1,1.0,0.0,1.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,NO IDENTIFICADO,-2.790132,-78.999274,20.0,BAJO
CHIQUINTAD,RURAL,3,4,17,1,2.0,0.0,2.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",PÉRDIDA DE PISTA,NO IDENTIFICADO,-2.834646,-78.995647,20.0,BAJO
CHIQUINTAD,RURAL,6,2,7,1,3.0,0.0,3.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,NO IDENTIFICADO,-2.830252,-78.996098,20.0,BAJO
