FECHA,HORA,CANTON,PARROQUIA,ZONA,LATITUD_Y,LONGITUD_X,DIRECCION,TIPO_DE_SINIESTRO,CAUSA_PROBABLE,TIPO_DE_VEHICULO_1,LESIONADOS,FALLECIDOS,FERIADO,ANIO,MES,DIA,DIA_SEMANA,NOMBRE_DIA,HORA_DECIMAL,HORA_NUM,RANGO_HORARIO,TOTAL_VICTIMAS,NUM_ACCIDENTES,RIESGO_PORCENTAJE,NIVEL_RIESGO
2024-10-17,13:40:00,CUENCA,CUENCA,URBANA,-2.899076,-78.990563,AVENIDA GONZALEZ SUAREZ Y AVENIDA GUAPONDELIG,CHOQUE LATERAL,DISPOSITIVO REGULADOR DE TRÁNSITO EN MAL ESTADO DE FUNCIONAMIENTO (SEMÁFORO).,MOTOCICLETA,2,0,NO,2024,10,17,3,JUEVES,13.666666666666666,13,TARDE,2,6,54.55,MEDIO
2024-10-18,14:44:00,CUENCA,CUENCA,URBANA,-2.89792,-79.031546,MARIANO ESTRELLA Y MANUEL BALAREZO COBOS,PÉRDIDA DE CARRIL,"CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FÍSICAS (SUEÑO, CANSANCIO Y FATIGA).",AUTOMÓVIL,0,0,NO,2024,10,18,4,VIERNES,14.733333333333333,14,TARDE,0,4,36.36,BAJO
2024-10-18,18:57:00,CUENCA,CUENCA,URBANA,-2.918944,-79.053352,AVENIDA RICARDO DURAN Y CALLE SIN NOMBRE,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",NO IDENTIFICADO,1,0,NO,2024,10,18,4,VIERNES,18.95,18,NOCHE,1,2,18.18,BAJO
2024-10-19,02:32:00,CUENCA,VALLE,URBANA,-2.936435,-78.96639,VIA AL VALLE Y VÍA A EL  DESPACHO,ATROPELLOS,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",AUTOMÓVIL,1,0,NO,2024,10,19,5,SABADO,2.533333333333333,2,MADRUGADA,1,1,9.09,BAJO
2024-10-19,16:26:00,CUENCA,RICAURTE (CUENCA),URBANA,-2.871695,-78.966007,ANTONIO RICAURTE Y SIN NOMBRE,ESTRELLAMIENTOS,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,0,0,NO,2024,10,19,5,SABADO,16.433333333333334,16,TARDE,0,1,9.09,BAJO
2024-10-19,19:25:00,CUENCA,CUENCA,URBANA,-2.854,-78.98592,VÍA A CHECA-CHIQUINTAD Y VÍA A BELLAVISTA,PÉRDIDA DE PISTA,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",MOTOCICLETA,0,1,NO,2024,10,19,5,SABADO,19.416666666666668,19,NOCHE,1,6,54.55,MEDIO
2024-10-19,23:10:00,CUENCA,CUENCA,URBANA,-2.914677,-79.027517,AV. DON BOSCO Y FRANCISCO DE ORELLANA,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CAMIONETA,1,0,NO,2024,10,19,5,SABADO,23.166666666666668,23,NOCHE,1,6,54.55,MEDIO
2024-10-20,03:01:00,CUENCA,CUENCA,URBANA,-2.907602,-78.984815,PUMAPUNGO Y RAÚL ANDRADE,PÉRDIDA DE PISTA,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",VEHÍCULO DEPORTIVO UTILITARIO,2,0,NO,2024,10,20,6,DOMINGO,3.0166666666666666,3,MADRUGADA,2,3,27.27,BAJO
2024-10-20,03:08:00,CUENCA,LLACAO,URBANA,-2.838611,-78.939686,VÍA A LLACAO Y NINGUNA,ATROPELLOS,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,MOTOCICLETA,1,0,NO,2024,10,20,6,DOMINGO,3.1333333333333333,3,MADRUGADA,1,1,9.09,BAJO
2024-10-20,08:03:00,CUENCA,CUENCA,URBANA,-2.891034,-79.006895,TARQUI Y PIO BRAVO,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",VEHÍCULO DEPORTIVO UTILITARIO,1,0,NO,2024,10,20,6,DOMINGO,8.05,8,MANANA,1,2,18.18,BAJO
2024-10-20,08:20:00,CUENCA,CUENCA,URBANA,-2.889563,-79.011011,RAFAEL MARIA ARIZAGA Y MIGUEL VELEZ,CHOQUE LATERAL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",NO IDENTIFICADO,2,0,NO,2024,10,20,6,DOMINGO,8.333333333333334,8,MANANA,2,2,18.18,BAJO
2024-10-20,15:34:00,CUENCA,CUENCA,URBANA,-2.893484,-79.001237,HERMANO MIGUEL Y ANTONIO VEGA MUÑOZ,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,7,0,NO,2024,10,20,6,DOMINGO,15.566666666666666,15,TARDE,7,4,36.36,BAJO
