MES,DIA_SEMANA,RANGO_HORARIO,PARROQUIA,ZONA,FERIADO,NUM_ACCIDENTES,CAUSA_MAS_FRECUENTE,SINIESTRO_MAS_FRECUENTE,VEHICULO_MAS_FRECUENTE,PROMEDIO_LESIONADOS,PROMEDIO_FALLECIDOS,PROMEDIO_VICTIMAS,LATITUD_PROMEDIO,LONGITUD_PROMEDIO
9,2,TARDE,CUENCA,URBANA,NO,10,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,MOTOCICLETA,1.3,0.1,1.4,-2.8965405,-79.0067313
9,3,MANANA,CUENCA,URBANA,NO,5,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,AUTOMÓVIL,1.0,0.0,1.0,-2.8879188,-78.9978614
9,3,MANANA,MOLLETURO,RURAL,NO,1,MALAS CONDICIONES DE LA VÍA Y/O CONFIGURACIÓN. (ILUMINACIÓN Y DISEÑO).,VOLCAMIENTOS,NO IDENTIFICADO,1.0,0.0,1.0,-2.748381,-79.397421
9,3,NOCHE,CUENCA,URBANA,NO,5,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,CAMIONETA,1.0,0.0,1.0,-2.8925284,-78.99456119999999
9,3,NOCHE,TARQUI (CUENCA),RURAL,NO,2,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE LATERAL,CAMIONETA,0.5,0.0,0.5,-2.9810555,-79.046764
9,3,TARDE,CUENCA,URBANA,NO,9,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,MOTOCICLETA,0.56,0.0,0.56,-2.8975152222222222,-79.01203388888888
9,3,TARDE,MOLLETURO,RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIONETA,1.0,0.0,1.0,-2.795611,-79.371667
9,3,TARDE,SININCAY,RURAL,NO,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,CAMIONETA,1.0,0.0,1.0,-2.860712,-79.016917
9,4,MADRUGADA,CUENCA,URBANA,NO,2,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",ESTRELLAMIENTOS,AUTOMÓVIL,1.0,0.0,1.0,-2.9008035000000003,-79.0183065
9,4,MANANA,CUENCA,RURAL,NO,1,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL.,CHOQUE FRONTAL,BICICLETA,1.0,0.0,1.0,-2.850684,-78.985903
9,4,MANANA,CUENCA,URBANA,NO,4,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,AUTOMÓVIL,0.5,0.0,0.5,-2.889926,-78.99352175
9,4,NOCHE,CUENCA,URBANA,NO,8,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,VEHÍCULO DEPORTIVO UTILITARIO,0.62,0.0,0.62,213302146.33736774,-79.01365375
9,4,NOCHE,CUMBE,RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIÓN,0.0,0.0,0.0,-3.163282,-79.027251
9,4,NOCHE,RICAURTE (CUENCA),RURAL,NO,1,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,AUTOMÓVIL,1.0,0.0,1.0,-2.862989,-78.967791
9,4,TARDE,CHECA (JIDCAY),RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIONETA,0.0,0.0,0.0,-2.807363,-78.992981
9,4,TARDE,CUENCA,URBANA,NO,8,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,VEHÍCULO DEPORTIVO UTILITARIO,0.62,0.0,0.62,-2.896944125,-78.99978525
9,5,MADRUGADA,CHECA (JIDCAY),RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,NO IDENTIFICADO,1.0,0.0,1.0,-2.790132,-78.999274
9,5,MADRUGADA,CUENCA,URBANA,NO,5,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,AUTOMÓVIL,0.8,0.0,0.8,-2.9061962,-79.00824800000001
9,5,MADRUGADA,MOLLETURO,RURAL,NO,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,CAMIÓN,1.0,0.0,1.0,-2.789722,-79.368472
9,5,MADRUGADA,SAYAUSI,URBANA,NO,1,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ESTRELLAMIENTOS,VEHÍCULO DEPORTIVO UTILITARIO,0.0,0.0,0.0,-2.874937,-79.072169
9,5,MANANA,CUENCA,URBANA,NO,1,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,ROZAMIENTOS,BICICLETA,1.0,0.0,1.0,-2.891495,-78.957192
9,5,MANANA,TARQUI (CUENCA),RURAL,NO,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,NO IDENTIFICADO,1.0,0.0,1.0,-2.976649,-79.047727
9,5,NOCHE,CUENCA,URBANA,NO,11,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ATROPELLOS,MOTOCICLETA,0.82,0.09,0.91,-2.895518181818182,-79.01608418181819
