RIESGO_REAL;RIESGO_PREDICHO;ERROR_ABSOLUTO;NIVEL_REAL;NIVEL_PREDICHO
18,18;13,667983;4,5120173;BAJO;BAJO
36,36;48,008423;11,648422;BAJO;MEDIO
9,09;11,742299;2,652299;BAJO;BAJO
9,09;13,661689;4,5716887;BAJO;BAJO
36,36;23,472618;12,8873825;BAJO;BAJO
36,36;38,44007;2,0800705;BAJO;MEDIO
9,09;12,044065;2,9540653;BAJO;BAJO
36,36;46,150333;9,790333;BAJO;MEDIO
9,09;19,919647;10,829647;BAJO;BAJO
18,18;24,149183;5,969183;BAJO;BAJO
18,18;35,30372;17,123718;BAJO;BAJO
18,18;42,418392;24,238392;BAJO;MEDIO
72,73;51,444614;21,285389;ALTO;MEDIO
9,09;19,83564;10,74564;BAJO;BAJO
18,18;35,19106;17,011059;BAJO;BAJO
9,09;29,819954;20,729954;BAJO;BAJO
27,27;25,07746;2,1925411;BAJO;BAJO
72,73;57,332695;15,397308;ALTO;ALTO
9,09;19,200682;10,110682;BAJO;BAJO
9,09;10,766855;1,6768551;BAJO;BAJO
9,09;7,1199193;1,9700809;BAJO;BAJO
9,09;6,873382;2,216618;BAJO;BAJO
45,45;34,386982;11,063019;MEDIO;BAJO
45,45;36,345974;9,104027;MEDIO;BAJO
9,09;11,345709;2,2557087;BAJO;BAJO
27,27;24,475386;2,7946148;BAJO;BAJO
72,73;66,26869;6,4613113;ALTO;ALTO
9,09;8,489178;0,60082245;BAJO;BAJO
45,45;30,130589;15,319412;MEDIO;BAJO
9,09;12,652494;3,5624943;BAJO;BAJO
45,45;51,848305;6,398304;MEDIO;MEDIO
27,27;43,492447;16,222446;BAJO;MEDIO
36,36;30,018095;6,3419056;BAJO;BAJO
9,09;24,453434;15,363434;BAJO;BAJO
18,18;10,902099;7,2779016;BAJO;BAJO
36,36;38,44007;2,0800705;BAJO;MEDIO
9,09;5,2199764;3,8700237;BAJO;BAJO
9,09;13,600223;4,5102224;BAJO;BAJO
9,09;9,103725;0,013725281;BAJO;BAJO
9,09;9,226634;0,13663387;BAJO;BAJO
54,55;46,686012;7,863987;ALTO;MEDIO
9,09;16,410456;7,3204556;BAJO;BAJO
9,09;8,26997;0,8200302;BAJO;BAJO
9,09;8,137801;0,952199;BAJO;BAJO
45,45;32,122173;13,327827;MEDIO;BAJO
27,27;28,855196;1,5851955;BAJO;BAJO
27,27;30,285982;3,0159817;BAJO;BAJO
18,18;10,7341175;7,445883;BAJO;BAJO
18,18;55,089516;36,909515;BAJO;ALTO
54,55;41,91662;12,633381;ALTO;MEDIO
9,09;10,833573;1,7435732;BAJO;BAJO
45,45;44,48574;0,9642601;MEDIO;MEDIO
18,18;32,624767;14,444767;BAJO;BAJO
18,18;34,50194;16,321941;BAJO;BAJO
27,27;43,987976;16,717976;BAJO;MEDIO
18,18;27,167896;8,987896;BAJO;BAJO
36,36;31,737629;4,6223717;BAJO;BAJO
36,36;37,211136;0,85113525;BAJO;BAJO
45,45;31,167149;14,282852;MEDIO;BAJO
54,55;45,42338;9,126617;ALTO;MEDIO
36,36;33,390087;2,9699135;BAJO;BAJO
9,09;10,434614;1,344614;BAJO;BAJO
9,09;14,00623;4,91623;BAJO;BAJO
45,45;57,983006;12,533005;MEDIO;ALTO
9,09;9,668151;0,57815075;BAJO;BAJO
9,09;12,439102;3,349102;BAJO;BAJO
36,36;23,282112;13,0778885;BAJO;BAJO
45,45;34,22222;11,227779;MEDIO;BAJO
9,09;7,591107;1,4988933;BAJO;BAJO
9,09;7,596024;1,4939761;BAJO;BAJO
18,18;25,192007;7,0120068;BAJO;BAJO
9,09;5,971001;3,118999;BAJO;BAJO
27,27;34,934116;7,664116;BAJO;BAJO
9,09;14,862921;5,7729206;BAJO;BAJO
9,09;6,9072537;2,1827464;BAJO;BAJO
9,09;8,130069;0,9599314;BAJO;BAJO
36,36;27,600306;8,759695;BAJO;BAJO
36,36;51,791847;15,431847;BAJO;MEDIO
45,45;35,226868;10,223133;MEDIO;BAJO
36,36;30,822002;5,537998;BAJO;BAJO
36,36;31,853798;4,5062027;BAJO;BAJO
18,18;9,592556;8,587444;BAJO;BAJO
9,09;15,697919;6,6079187;BAJO;BAJO
45,45;38,688805;6,761196;MEDIO;MEDIO
18,18;18,697166;0,51716614;BAJO;BAJO
45,45;37,523518;7,926483;MEDIO;BAJO
9,09;11,588079;2,4980793;BAJO;BAJO
9,09;4,188385;4,901615;BAJO;BAJO
27,27;28,09798;0,82798004;BAJO;BAJO
9,09;3,7525184;5,3374815;BAJO;BAJO
9,09;11,369621;2,2796211;BAJO;BAJO
18,18;27,73318;9,553179;BAJO;BAJO
45,45;41,521492;3,9285088;MEDIO;MEDIO
18,18;40,232952;22,052952;BAJO;MEDIO
9,09;9,618328;0,52832794;BAJO;BAJO
18,18;38,129406;19,949406;BAJO;MEDIO
9,09;11,826386;2,7363863;BAJO;BAJO
27,27;62,957035;35,687035;BAJO;ALTO
18,18;13,496198;4,6838026;BAJO;BAJO
9,09;5,10455;3,9854503;BAJO;BAJO
54,55;48,573963;5,976036;ALTO;MEDIO
100,0;70,47504;29,524963;ALTO;ALTO
27,27;37,141243;9,871243;BAJO;BAJO
54,55;40,583153;13,966846;ALTO;MEDIO
54,55;57,63143;3,0814323;ALTO;ALTO
54,55;59,349895;4,7998962;ALTO;ALTO
18,18;50,01637;31,836369;BAJO;MEDIO
45,45;34,12296;11,327042;MEDIO;BAJO
45,45;38,634914;6,8150864;MEDIO;MEDIO
36,36;44,61106;8,2510605;BAJO;MEDIO
36,36;32,740208;3,619793;BAJO;BAJO
45,45;38,771496;6,678505;MEDIO;MEDIO
18,18;37,267838;19,087837;BAJO;BAJO
9,09;18,674587;9,584587;BAJO;BAJO
36,36;38,44008;2,0800781;BAJO;MEDIO
45,45;43,23873;2,2112694;MEDIO;MEDIO
18,18;27,27624;9,096239;BAJO;BAJO
45,45;38,300083;7,1499176;MEDIO;MEDIO
